# frame_id: metro_totals
# decision: D0013 — keep within-coarse-unit edges in the flow table, flagged, and exclude them from coarse-unit in/out totals
# specification: {"filter": null, "grouping": ["top_metro"], "transform": null, "unit_of_analysis": "one of the 30 metropolitan statistical areas this project declares", "weights": null, "window": null}
# column total_in: total_in
# column total_out: total_out
# column net: net
# column rest_of_us_in_direct: rest_of_us_in_direct
# column rest_of_us_out_direct: rest_of_us_out_direct
# column rest_of_us_in_suppressed: rest_of_us_in_suppressed
# column rest_of_us_out_suppressed: rest_of_us_out_suppressed
# column net_positive: net_positive
# NAMING: a cell may be drawn; only a claimed cell may be named. Naming is asserting a cell's relation to cells not shown: a superlative, a rank, a top-N cut, or a sort the reader reads as a ranking. A readout of a cell's own value names nothing, whoever elected it.
# CITATION: every rendered figure cites its source, a claim id or a frame id; only a claim id licenses naming.
unit,top_metro,total_in,total_out,net,rest_of_us_in_direct,rest_of_us_out_direct,rest_of_us_in_suppressed,rest_of_us_out_suppressed,net_positive
12060,12060,186950.0,174894.0,12056.0,47838.0,57643.0,85399.0,78594.0,1.0
12420,12420,112105.0,95098.0,17007.0,30235.0,26172.0,23706.0,24085.0,1.0
12580,12580,75530.0,83898.0,-8368.0,10505.0,18626.0,25660.0,28485.0,0.0
14460,14460,111346.0,135565.0,-24219.0,51082.0,67707.0,25151.0,27394.0,0.0
16740,16740,102284.0,82202.0,20082.0,36007.0,35620.0,40798.0,33343.0,1.0
16980,16980,137238.0,182479.0,-45241.0,46905.0,64293.0,42030.0,53056.0,0.0
17140,17140,46780.0,47592.0,-812.0,13994.0,15337.0,27615.0,25953.0,0.0
19100,19100,243627.0,204518.0,39109.0,81651.0,75771.0,63734.0,60995.0,1.0
19740,19740,114241.0,114071.0,170.0,38771.0,42661.0,37691.0,42252.0,1.0
19820,19820,69757.0,81695.0,-11938.0,30214.0,36770.0,23920.0,24727.0,0.0
26420,26420,183634.0,158632.0,25002.0,60265.0,54085.0,45398.0,42907.0,1.0
29820,29820,86560.0,77823.0,8737.0,29970.0,30096.0,10444.0,13103.0,1.0
31080,31080,209236.0,315519.0,-106283.0,56125.0,90989.0,15964.0,20954.0,0.0
33100,33100,137530.0,191921.0,-54391.0,39163.0,84331.0,21351.0,26797.0,0.0
33460,33460,75117.0,78756.0,-3639.0,27086.0,24679.0,35132.0,36548.0,0.0
35620,35620,250643.0,424850.0,-174207.0,72284.0,155702.0,68648.0,89790.0,0.0
36740,36740,127320.0,119132.0,8188.0,46046.0,56590.0,28872.0,29273.0,1.0
37980,37980,117965.0,132304.0,-14339.0,29790.0,39323.0,38364.0,46303.0,0.0
38060,38060,155333.0,136985.0,18348.0,68789.0,64002.0,21185.0,24055.0,1.0
38300,38300,41068.0,44993.0,-3925.0,12177.0,13028.0,19624.0,20121.0,0.0
38900,38900,71985.0,78375.0,-6390.0,26777.0,29180.0,21530.0,26133.0,0.0
40140,40140,147004.0,142924.0,4080.0,17626.0,32734.0,15816.0,22899.0,1.0
40900,40900,67702.0,69000.0,-1298.0,27873.0,27886.0,13548.0,18566.0,0.0
41180,41180,51755.0,55121.0,-3366.0,11431.0,12000.0,31581.0,31288.0,0.0
41700,41700,97015.0,80124.0,16891.0,32810.0,24654.0,25559.0,24683.0,1.0
41740,41740,105675.0,124400.0,-18725.0,34231.0,43590.0,10047.0,13465.0,0.0
41860,41860,119542.0,155909.0,-36367.0,52617.0,64573.0,17219.0,22539.0,0.0
42660,42660,122970.0,134505.0,-11535.0,50466.0,58068.0,21669.0,26639.0,0.0
45300,45300,135937.0,115512.0,20425.0,47140.0,47122.0,33734.0,35765.0,1.0
47900,47900,182698.0,211370.0,-28672.0,40517.0,55853.0,69376.0,74973.0,0.0
