# frame_id: top_metro_relations
# decision: D0013 — keep within-coarse-unit edges in the flow table, flagged, and exclude them from coarse-unit in/out totals
# specification: {"filter": "origin_top_metro.notna() and dest_top_metro.notna() and intra_top_metro == False", "grouping": ["origin_top_metro", "dest_top_metro"], "transform": null, "unit_of_analysis": "one directed pair of metropolitan statistical areas", "weights": null, "window": null}
# column value: people
# NAMING: a cell may be drawn; only a claimed cell may be named. Naming is asserting a cell's relation to cells not shown: a superlative, a rank, a top-N cut, or a sort the reader reads as a ranking. A readout of a cell's own value names nothing, whoever elected it.
# CITATION: every rendered figure cites its source, a claim id or a frame id; only a claim id licenses naming.
unit,origin_top_metro,dest_top_metro,value
12060|12420,12060,12420,914.0
12060|12580,12060,12580,573.0
12060|14460,12060,14460,864.0
12060|16740,12060,16740,1712.0
12060|16980,12060,16980,1894.0
12060|17140,12060,17140,253.0
12060|19100,12060,19100,3033.0
12060|19740,12060,19740,1055.0
12060|19820,12060,19820,819.0
12060|26420,12060,26420,2559.0
12060|29820,12060,29820,836.0
12060|31080,12060,31080,2375.0
12060|33100,12060,33100,3807.0
12060|33460,12060,33460,302.0
12060|35620,12060,35620,4639.0
12060|36740,12060,36740,2064.0
12060|37980,12060,37980,708.0
12060|38060,12060,38060,1062.0
12060|38300,12060,38300,303.0
12060|38900,12060,38900,219.0
12060|40140,12060,40140,388.0
12060|40900,12060,40900,127.0
12060|41180,12060,41180,376.0
12060|41700,12060,41700,339.0
12060|41740,12060,41740,729.0
12060|41860,12060,41860,786.0
12060|42660,12060,42660,1125.0
12060|45300,12060,45300,2380.0
12060|47900,12060,47900,2416.0
12420|12060,12420,12060,554.0
12420|12580,12420,12580,170.0
12420|14460,12420,14460,702.0
12420|16740,12420,16740,257.0
12420|16980,12420,16980,1231.0
12420|17140,12420,17140,66.0
12420|19100,12420,19100,8503.0
12420|19740,12420,19740,1702.0
12420|19820,12420,19820,271.0
12420|26420,12420,26420,8069.0
12420|29820,12420,29820,434.0
12420|31080,12420,31080,1813.0
12420|33100,12420,33100,817.0
12420|33460,12420,33460,287.0
12420|35620,12420,35620,1811.0
12420|36740,12420,36740,396.0
12420|37980,12420,37980,345.0
12420|38060,12420,38060,869.0
12420|38300,12420,38300,138.0
12420|38900,12420,38900,670.0
12420|40140,12420,40140,432.0
12420|40900,12420,40900,191.0
12420|41180,12420,41180,201.0
12420|41700,12420,41700,10084.0
12420|41740,12420,41740,798.0
12420|41860,12420,41860,1062.0
12420|42660,12420,42660,1427.0
12420|45300,12420,45300,498.0
12420|47900,12420,47900,1043.0
12580|12060,12580,12060,953.0
12580|12420,12580,12420,310.0
12580|14460,12580,14460,712.0
12580|16740,12580,16740,628.0
12580|16980,12580,16980,479.0
12580|19100,12580,19100,968.0
12580|19740,12580,19740,314.0
12580|19820,12580,19820,40.0
12580|26420,12580,26420,802.0
12580|29820,12580,29820,347.0
12580|31080,12580,31080,761.0
12580|33100,12580,33100,1373.0
12580|33460,12580,33460,90.0
12580|35620,12580,35620,2479.0
12580|36740,12580,36740,488.0
12580|37980,12580,37980,3294.0
12580|38060,12580,38060,462.0
12580|38300,12580,38300,349.0
12580|38900,12580,38900,41.0
12580|40140,12580,40140,96.0
12580|41700,12580,41700,637.0
12580|41740,12580,41740,633.0
12580|41860,12580,41860,302.0
12580|42660,12580,42660,389.0
12580|45300,12580,45300,1086.0
12580|47900,12580,47900,18754.0
14460|12060,14460,12060,1036.0
14460|12420,14460,12420,1198.0
14460|12580,14460,12580,479.0
14460|16740,14460,16740,641.0
14460|16980,14460,16980,1704.0
14460|17140,14460,17140,160.0
14460|19100,14460,19100,1568.0
14460|19740,14460,19740,966.0
14460|19820,14460,19820,308.0
14460|26420,14460,26420,1055.0
14460|29820,14460,29820,294.0
14460|31080,14460,31080,2687.0
14460|33100,14460,33100,3438.0
14460|33460,14460,33460,360.0
14460|35620,14460,35620,9913.0
14460|36740,14460,36740,1443.0
14460|37980,14460,37980,1507.0
14460|38060,14460,38060,769.0
14460|38300,14460,38300,295.0
14460|38900,14460,38900,369.0
14460|40140,14460,40140,146.0
14460|40900,14460,40900,117.0
14460|41180,14460,41180,122.0
14460|41700,14460,41700,242.0
14460|41740,14460,41740,1307.0
14460|41860,14460,41860,2045.0
14460|42660,14460,42660,1436.0
14460|45300,14460,45300,1798.0
14460|47900,14460,47900,3061.0
16740|12060,16740,12060,1607.0
16740|12420,16740,12420,286.0
16740|12580,16740,12580,309.0
16740|14460,16740,14460,346.0
16740|16980,16740,16980,557.0
16740|17140,16740,17140,111.0
16740|19100,16740,19100,993.0
16740|19740,16740,19740,377.0
16740|19820,16740,19820,212.0
16740|26420,16740,26420,623.0
16740|29820,16740,29820,166.0
16740|31080,16740,31080,453.0
16740|33100,16740,33100,809.0
16740|33460,16740,33460,115.0
16740|35620,16740,35620,1851.0
16740|36740,16740,36740,714.0
16740|37980,16740,37980,405.0
16740|38060,16740,38060,328.0
16740|38300,16740,38300,161.0
16740|38900,16740,38900,48.0
16740|40140,16740,40140,95.0
16740|40900,16740,40900,34.0
16740|41180,16740,41180,52.0
16740|41700,16740,41700,108.0
16740|41740,16740,41740,167.0
16740|41860,16740,41860,158.0
16740|42660,16740,42660,406.0
16740|45300,16740,45300,690.0
16740|47900,16740,47900,1058.0
16980|12060,16980,12060,3149.0
16980|12420,16980,12420,2062.0
16980|12580,16980,12580,436.0
16980|14460,16980,14460,1652.0
16980|16740,16980,16740,1119.0
16980|17140,16980,17140,631.0
16980|19100,16980,19100,5931.0
16980|19740,16980,19740,2817.0
16980|19820,16980,19820,1945.0
16980|26420,16980,26420,3800.0
16980|29820,16980,29820,1919.0
16980|31080,16980,31080,4368.0
16980|33100,16980,33100,3549.0
16980|33460,16980,33460,1814.0
16980|35620,16980,35620,5644.0
16980|36740,16980,36740,1672.0
16980|37980,16980,37980,859.0
16980|38060,16980,38060,5740.0
16980|38300,16980,38300,372.0
16980|38900,16980,38900,514.0
16980|40140,16980,40140,758.0
16980|40900,16980,40900,303.0
16980|41180,16980,41180,1608.0
16980|41700,16980,41700,1001.0
16980|41740,16980,41740,1992.0
16980|41860,16980,41860,2166.0
16980|42660,16980,42660,2014.0
16980|45300,16980,45300,3115.0
16980|47900,16980,47900,2180.0
17140|12060,17140,12060,379.0
17140|12420,17140,12420,187.0
17140|14460,17140,14460,213.0
17140|16740,17140,16740,232.0
17140|16980,17140,16980,893.0
17140|19100,17140,19100,374.0
17140|19740,17140,19740,164.0
17140|19820,17140,19820,212.0
17140|26420,17140,26420,199.0
17140|29820,17140,29820,139.0
17140|31080,17140,31080,317.0
17140|33100,17140,33100,233.0
17140|33460,17140,33460,57.0
17140|35620,17140,35620,495.0
17140|36740,17140,36740,116.0
17140|37980,17140,37980,70.0
17140|38060,17140,38060,344.0
17140|38300,17140,38300,101.0
17140|38900,17140,38900,50.0
17140|40140,17140,40140,36.0
17140|41180,17140,41180,76.0
17140|41700,17140,41700,30.0
17140|41740,17140,41740,98.0
17140|41860,17140,41860,89.0
17140|42660,17140,42660,389.0
17140|45300,17140,45300,570.0
